"axis_id","group_name","group_name_zh","brand","switch_name","axis_range_max","magnetic_flux","axis_color","image_url","detail_axis_id","axis_coefficient"
"520","TTC","正牌科电","TTC","圣心万磁王","3450","470","#fffafa","#","8320","19800"
"519","TTC","正牌科电","TTC","紫心万磁王","3420","462","#6f43fd","#","8304","21000"
"518","TTC","正牌科电","TTC","爱心万磁王","3400","461","#f8d4e0","#","8288","20500"
"517","TTC","正牌科电","TTC","白蛇轴","3300","457","#e8e8e8","#","8272","20800"
"516","TTC","正牌科电","TTC","青蛇轴","3400","471","#69ff1f","#","8256","20600"
"515","TTC","正牌科电","TTC","Pom万磁王","3400","476","#e3dcff","#","8240","21400"
"514","TTC","正牌科电","TTC","万磁王RGB","3300","473","#ff2121","#","8224","20100"
"819","other","其它","other","极磁轴Pro","3585","505","#fedada","#","13104","18500"
"772","other","其它","WuqueStudio","八宝轴L","3500","498","#ece8e8","#","12352","20200"
"771","other","其它","WuqueStudio","八宝轴α","3500","646","#f2f2f2","#","12336","22000"
"913","other","其它","other","瑶光轴","3200","460","#ede8cb","#","14608","18432"
"909","other","其它","other","白色悟空轴","3400","460","#ffffff","#","14544","17664"
"855","other","其它","other","雪曜轴","3200","360","#ffffff","#","13681","25728"
"854","other","其它","other","冰曜轴","3200","360","#54a9e1","#","13665","25728"
"842","other","其它","other","天际线轴","3500","480","#4dd1f9","#","13472","17536"
"829","other","其它","other","海妖轴","3793","400","#e89ab1","#","13264","17536"
"824","other","其它","other","极磁-樱澈轴","3625","495","#f2b9f8","#","13184","22200"
"823","other","其它","other","极磁-墨玉轴","3605","503","#d3f89c","#","13168","18900"
"822","other","其它","other","极磁-混元轴","3655","500","#e4e4e4","#","13152","19200"
"821","other","其它","other","极磁-灼华轴","3645","490","#f7d8fe","#","13136","16950"
"820","other","其它","other","极磁轴RGB","3580","510","#fff6f6","#","13120","19000"
"773","other","其它","other","冰皇轴","3300","543","#eeeeee","#","12368","20500"
"818","other","其它","other","极磁轴Pro+","3650","510","#fcc4b5","#","13088","17300"
"796","other","其它","other","赤霄轴","3540","530","#fff897","#","12736","19900"
"795","other","其它","other","紫星轴","3550","447","#cbadff","#","12720","18600"
"794","other","其它","other","天青轴Pro","3610","500","#74e1fd","#","12704","18100"
"791","other","其它","other","磁神轴","3470","476","#049217","#","12656","21000"
"788","other","其它","other","天际线轴","3550","502","#d3e4ff","#","12608","18600"
"785","other","其它","other","形意轴","3380","488","#dddddd","#","12560","20000"
"782","other","其它","other","粉皇轴","3450","484","#ffe043","#","12512","21600"
"779","other","其它","other","悟空轴","3390","491","#ebebeb","#","12464","20100"
"778","other","其它","other","锦鲤轴","3340","515","#fcadad","#","12448","21500"
"777","other","其它","other","UR冰磁轴","3310","486","#ffd9d9","#","12432","20500"
"776","other","其它","other","登神Pro","3360","510","#caa1ff","#","12416","21300"
"775","other","其它","other","ti轴","3340","518","#d9c5b3","#","12400","20200"
"890","WuqueStudio","WuqueStudio","WuqueStudio","粉藕轴","3443","610","#f4c9cc","#","14240","21888"
"891","WuqueStudio","WuqueStudio","WuqueStudio","深海低语者","3450","610","#d9e2f4","#","14256","21888"
"916","WuqueStudio","WuqueStudio","WuqueStudio","海洋之心","3555","585","#eaf0f7","#","14656","24576"
"917","WuqueStudio","WuqueStudio","WuqueStudio","库里南","3534","580","#f8f5f5","#","14672","24576"
"1219","Jiang Wan","江湾","Jiang Wan","库里南轴","3600","550","#eaeaea","#","19504","19456"
